,Clear_day_cov,Clear_night_cov,Day_view_angle,Day_view_time,Emis_31,Emis_32,LST_Day_1km,LST_Night_1km,Night_view_angle,Night_view_time,QC_Day,QC_Night
6208,2475.4285714285716,2497.5833333333335,74.07142857142857,109.71428571428571,246.28571428571428,248.0,15661.714285714286,14918.416666666666,75.83333333333333,221.66666666666666,8.375,2.0
6209,2508.714285714286,2379.0,74.21428571428571,109.71428571428571,246.35714285714286,248.0,15687.357142857143,14935.538461538461,71.07692307692308,221.15384615384616,8.375,17.75
6210,2451.3846153846152,2445.3076923076924,75.92307692307692,109.6923076923077,246.0,247.64285714285714,15585.076923076924,14941.538461538461,70.6923076923077,221.15384615384616,4.4375,33.5
6211,2467.6428571428573,2498.1666666666665,73.5,109.5,246.0,247.64285714285714,15579.642857142857,14917.916666666666,75.41666666666667,221.66666666666666,4.3125,14.6
6212,2569.5,2497.6666666666665,73.57142857142857,109.5,246.0,247.78571428571428,15630.785714285714,14909.25,75.41666666666667,221.66666666666666,8.375,14.6
6213,2567.6428571428573,2348.3846153846152,73.57142857142857,109.57142857142857,246.0,247.92857142857142,15649.642857142857,14926.23076923077,70.84615384615384,221.15384615384616,8.375,27.2
6214,2569.9285714285716,2407.846153846154,73.71428571428571,109.57142857142857,246.07142857142858,247.85714285714286,15653.57142857143,14914.615384615385,70.84615384615384,221.15384615384616,8.375,17.75
6215,2570.4285714285716,2430.0,73.71428571428571,109.57142857142857,246.0,248.0,15686.285714285714,14903.692307692309,70.92307692307692,221.15384615384616,8.375,17.75
6216,2568.785714285714,2498.8333333333335,73.78571428571429,109.57142857142857,246.07142857142858,248.0,15691.07142857143,14888.916666666666,75.75,221.66666666666666,8.375,2.0
6217,2570.8571428571427,2323.4615384615386,73.78571428571429,109.57142857142857,246.07142857142858,248.0,15692.57142857143,14929.923076923076,71.0,221.15384615384616,8.375,17.75
6218,2447.214285714286,2368.6153846153848,73.85714285714286,109.64285714285714,246.14285714285714,247.85714285714286,15678.357142857143,14935.153846153846,71.07692307692308,221.15384615384616,8.375,17.75
6219,2432.4285714285716,2402.923076923077,74.07142857142857,109.71428571428571,246.28571428571428,247.92857142857142,15655.92857142857,14925.76923076923,71.07692307692308,221.15384615384616,4.3125,17.75
6220,2456.8571428571427,2452.5384615384614,74.21428571428571,109.71428571428571,246.28571428571428,248.0,15645.357142857143,14922.0,71.07692307692308,221.15384615384616,4.3125,17.75
